epoch,acc,loss,val_acc,val_loss
0,0.2277250245572254,3.4624039818397576,0.3792065814471905,2.6481917793278242
1,0.46882658072853045,2.2291041541482075,0.5762084863109729,1.732016912766573
2,0.6102710807025776,1.5826524780116549,0.6767247328913443,1.2940713738702718
3,0.6809485239631882,1.2690124814484502,0.7313309223224124,1.0673390802826863
4,0.7221741603048912,1.086392309832824,0.7476741296752102,0.9784241854260872
5,0.7489203301896799,0.9714303309499549,0.7829279739441464,0.8394662715089225
6,0.7692729246715589,0.8880977741541279,0.8017833972676238,0.7724536513237669
7,0.7844382787325197,0.8267797626492436,0.7992711812706164,0.7596156183666531
8,0.795302186914016,0.780091347064854,0.8118874747890772,0.7249279666459696
9,0.8044634394350108,0.7419061949009967,0.8188443806470699,0.6904697104746728
